ID,Type,Date,Time,Source,Latitude,Longitude,InDC
6D52-653908,Single Gunshot,2024-04-01,01:16:46,WashingtonDC6D,38.907,-76.952,True
7D53-752235,Multiple Gunshots,2024-04-01,01:58:51,WashingtonDC7D,38.837,-77.006,True
5D51-324790,Single Gunshot,2024-04-01,04:10:28,WashingtonDC5D,38.906,-76.978,True
1D49-314413,Multiple Gunshots,2024-04-01,05:17:14,WashingtonDC1D,38.879,-76.99,True
1D49-314414,Multiple Gunshots,2024-04-01,05:17:23,WashingtonDC1D,38.879,-76.99,True
6D52-653985,Multiple Gunshots,2024-04-01,05:59:10,WashingtonDC6D,38.907,-76.953,True
3D48-213104,Probable Gunfire,2024-04-01,07:06:35,WashingtonDC3D,38.906,-77.013,True
6D52-653986,Multiple Gunshots,2024-04-01,07:08:00,WashingtonDC6D,38.885,-76.955,True
6D52-654060,Multiple Gunshots,2024-04-01,17:27:01,WashingtonDC6D,38.867,-76.986,True
6D52-654070,Multiple Gunshots,2024-04-01,18:32:06,WashingtonDC6D,38.89,-76.937,True
7D53-752353,Multiple Gunshots,2024-04-01,21:25:53,WashingtonDC7D,38.842,-76.987,True
7D53-752355,Multiple Gunshots,2024-04-01,23:12:14,WashingtonDC7D,38.848,-76.984,True
6D52-654081,Single Gunshot,2024-04-01,23:55:29,WashingtonDC6D,38.89,-76.941,True
5D51-324854,Multiple Gunshots,2024-04-02,00:55:31,WashingtonDC5D,38.903,-76.975,True
4D50-227525,Multiple Gunshots,2024-04-02,01:19:16,WashingtonDC4D,38.92,-77.022,True
4D50-227526,Multiple Gunshots,2024-04-02,01:19:21,WashingtonDC4D,38.919,-77.024,True
7D53-752357,Single Gunshot,2024-04-02,06:24:45,WashingtonDC7D,38.819,-77.008,True
7D53-752391,Multiple Gunshots,2024-04-02,11:25:45,WashingtonDC7D,38.856,-76.975,True
5D51-324861,Single Gunshot,2024-04-02,14:22:27,WashingtonDC5D,38.896,-76.981,True
5D51-324862,Multiple Gunshots,2024-04-02,14:22:39,WashingtonDC5D,38.897,-76.981,True
7D53-752403,Multiple Gunshots,2024-04-02,17:23:41,WashingtonDC7D,38.86,-76.988,True
7D53-752406,Multiple Gunshots,2024-04-02,20:09:12,WashingtonDC7D,38.86,-76.994,True
4D50-227539,Multiple Gunshots,2024-04-02,20:27:40,WashingtonDC4D,38.965,-77.033,True
6D52-654127,Single Gunshot,2024-04-02,20:38:52,WashingtonDC6D,38.91,-76.939,True
7D53-752408,Single Gunshot,2024-04-02,20:50:06,WashingtonDC7D,38.831,-76.993,True
6D52-654128,Multiple Gunshots,2024-04-02,21:17:03,WashingtonDC6D,38.88,-76.956,True
6D52-654144,Multiple Gunshots,2024-04-03,00:34:49,WashingtonDC6D,38.893,-76.951,True
6D52-654145,Multiple Gunshots,2024-04-03,00:35:17,WashingtonDC6D,38.893,-76.951,True
1D49-314472,Single Gunshot,2024-04-03,18:24:01,WashingtonDC1D,38.885,-76.986,True
1D49-314473,Single Gunshot,2024-04-03,20:44:09,WashingtonDC1D,38.888,-76.983,True
1D49-314474,Multiple Gunshots,2024-04-03,20:44:11,WashingtonDC1D,38.887,-76.983,True
7D53-752472,Multiple Gunshots,2024-04-03,22:48:32,WashingtonDC7D,38.842,-76.988,True
7D53-752473,Multiple Gunshots,2024-04-03,23:09:41,WashingtonDC7D,38.849,-76.965,False
7D53-752474,Multiple Gunshots,2024-04-04,00:00:57,WashingtonDC7D,38.861,-76.988,True
7D53-752477,Single Gunshot,2024-04-04,01:12:00,WashingtonDC7D,38.848,-76.984,True
7D53-752478,Single Gunshot,2024-04-04,01:12:13,WashingtonDC7D,38.848,-76.984,True
5D51-324933,Single Gunshot,2024-04-04,01:35:08,WashingtonDC5D,38.914,-77.001,True
1D49-314502,Single Gunshot,2024-04-04,02:05:33,WashingtonDC1D,38.878,-77.022,True
6D52-654216,Multiple Gunshots,2024-04-04,03:19:34,WashingtonDC6D,38.897,-76.943,True
6D52-654217,Multiple Gunshots,2024-04-04,03:19:41,WashingtonDC6D,38.897,-76.943,True
3D48-213156,Multiple Gunshots,2024-04-04,03:24:27,WashingtonDC3D,38.916,-77.012,True
7D53-752528,Multiple Gunshots,2024-04-04,04:43:47,WashingtonDC7D,38.844,-76.999,True
7D53-752529,Multiple Gunshots,2024-04-04,05:44:13,WashingtonDC7D,38.855,-76.973,True
6D52-654313,Multiple Gunshots,2024-04-04,14:01:50,WashingtonDC6D,38.903,-76.946,True
6D52-654322,Single Gunshot,2024-04-04,16:06:59,WashingtonDC6D,38.901,-76.947,True
6D52-654345,Single Gunshot,2024-04-04,17:35:19,WashingtonDC6D,38.894,-76.934,True
6D52-654386,Multiple Gunshots,2024-04-04,20:27:49,WashingtonDC6D,38.892,-76.948,True
7D53-752636,Multiple Gunshots,2024-04-04,22:14:13,WashingtonDC7D,38.827,-77.006,True
6D52-654421,Multiple Gunshots,2024-04-04,22:21:43,WashingtonDC6D,38.895,-76.922,True
7D53-752654,Multiple Gunshots,2024-04-05,01:53:55,WashingtonDC7D,38.841,-77.008,True
4D50-227641,Single Gunshot,2024-04-05,02:06:52,WashingtonDC4D,38.953,-77.027,True
6D52-654437,Multiple Gunshots,2024-04-05,02:18:40,WashingtonDC6D,38.87,-76.98,True
7D53-752657,Multiple Gunshots,2024-04-05,04:32:16,WashingtonDC7D,38.833,-76.996,True
6D52-654462,Single Gunshot,2024-04-05,13:17:05,WashingtonDC6D,38.881,-76.96,True
6D52-654464,Multiple Gunshots,2024-04-05,13:17:44,WashingtonDC6D,38.88,-76.96,True
6D52-654468,Multiple Gunshots,2024-04-05,13:48:35,WashingtonDC6D,38.89,-76.935,True
7D53-752695,Multiple Gunshots,2024-04-05,20:22:52,WashingtonDC7D,38.854,-76.992,True
1D49-314569,Single Gunshot,2024-04-05,20:54:48,WashingtonDC1D,38.883,-76.989,True
6D52-654520,Multiple Gunshots,2024-04-06,00:05:03,WashingtonDC6D,38.906,-76.949,True
6D52-654521,Multiple Gunshots,2024-04-06,00:05:10,WashingtonDC6D,38.906,-76.95,True
7D53-752711,Multiple Gunshots,2024-04-06,00:15:11,WashingtonDC7D,38.827,-76.998,True
6D52-654529,Probable Gunfire,2024-04-06,03:13:43,WashingtonDC6D,38.871,-76.949,True
3D48-213253,Single Gunshot,2024-04-06,03:48:38,WashingtonDC3D,38.91,-77.012,True
7D53-752716,Single Gunshot,2024-04-06,03:56:51,WashingtonDC7D,38.855,-76.992,True
6D52-654532,Probable Gunfire,2024-04-06,04:35:58,WashingtonDC6D,38.87,-76.982,True
6D52-654533,Single Gunshot,2024-04-06,04:43:43,WashingtonDC6D,38.893,-76.938,True
6D52-654534,Single Gunshot,2024-04-06,04:45:26,WashingtonDC6D,38.892,-76.939,True
6D52-654568,Multiple Gunshots,2024-04-06,12:45:38,WashingtonDC6D,38.896,-76.948,True
6D52-654596,Probable Gunfire,2024-04-06,17:27:20,WashingtonDC6D,38.898,-76.928,True
7D53-752870,Multiple Gunshots,2024-04-06,20:48:43,WashingtonDC7D,38.866,-76.987,True
6D52-654759,Probable Gunfire,2024-04-06,21:40:35,WashingtonDC6D,38.889,-76.96,True
7D53-752883,Single Gunshot,2024-04-06,22:19:21,WashingtonDC7D,38.844,-76.999,True
6D52-654763,Multiple Gunshots,2024-04-06,22:32:42,WashingtonDC6D,38.897,-76.932,True
3D48-213268,Single Gunshot,2024-04-07,00:43:35,WashingtonDC3D,38.916,-77.023,True
3D48-213270,Single Gunshot,2024-04-07,02:48:24,WashingtonDC3D,38.914,-77.022,True
3D48-213271,Single Gunshot,2024-04-07,02:48:32,WashingtonDC3D,38.914,-77.022,True
7D53-752924,Multiple Gunshots,2024-04-07,03:12:26,WashingtonDC7D,38.824,-77.004,True
7D53-752928,Single Gunshot,2024-04-07,05:35:46,WashingtonDC7D,38.854,-76.989,True
3D48-213273,Single Gunshot,2024-04-07,05:46:48,WashingtonDC3D,38.927,-77.023,True
5D51-325215,Probable Gunfire,2024-04-07,11:51:30,WashingtonDC5D,38.902,-76.977,True
7D53-752942,Single Gunshot,2024-04-07,14:46:57,WashingtonDC7D,38.846,-77.001,True
5D51-325220,Multiple Gunshots,2024-04-07,17:15:22,WashingtonDC5D,38.923,-76.978,True
5D51-325222,Probable Gunfire,2024-04-07,17:15:38,WashingtonDC5D,38.923,-76.978,True
6D52-654902,Probable Gunfire,2024-04-07,20:24:44,WashingtonDC6D,38.88,-76.932,True
7D53-752955,Multiple Gunshots,2024-04-07,20:42:55,WashingtonDC7D,38.826,-77.013,True
7D53-752956,Multiple Gunshots,2024-04-07,20:43:04,WashingtonDC7D,38.826,-77.013,True
7D53-752957,Multiple Gunshots,2024-04-07,20:43:12,WashingtonDC7D,38.826,-77.012,True
7D53-752958,Multiple Gunshots,2024-04-07,20:43:15,WashingtonDC7D,38.827,-77.014,True
7D53-752960,Multiple Gunshots,2024-04-07,20:44:01,WashingtonDC7D,38.826,-77.012,True
7D53-752961,Multiple Gunshots,2024-04-07,20:44:11,WashingtonDC7D,38.826,-77.013,True
7D53-752962,Multiple Gunshots,2024-04-07,20:48:04,WashingtonDC7D,38.847,-76.978,True
7D53-752964,Multiple Gunshots,2024-04-07,20:54:46,WashingtonDC7D,38.85,-76.976,True
1D49-314864,Multiple Gunshots,2024-04-07,21:08:18,WashingtonDC1D,38.88,-77.015,True
5D51-325241,Probable Gunfire,2024-04-07,22:00:17,WashingtonDC5D,38.907,-76.979,True
4D50-227720,Probable Gunfire,2024-04-07,22:10:09,WashingtonDC4D,38.957,-77.024,True
4D50-227722,Single Gunshot,2024-04-07,22:25:02,WashingtonDC4D,38.95,-77.017,True
7D53-752985,Single Gunshot,2024-04-07,22:59:10,WashingtonDC7D,38.821,-77.005,True
7D53-752988,Multiple Gunshots,2024-04-07,23:11:45,WashingtonDC7D,38.85,-76.971,True
7D53-752990,Single Gunshot,2024-04-08,00:22:11,WashingtonDC7D,38.846,-76.977,True
6D52-654933,Single Gunshot,2024-04-08,00:43:42,WashingtonDC6D,38.879,-76.931,True
4D50-227727,Multiple Gunshots,2024-04-08,01:12:41,WashingtonDC4D,38.941,-77.024,True
7D53-752998,Probable Gunfire,2024-04-08,01:26:39,WashingtonDC7D,38.841,-77.004,True
4D50-227729,Single Gunshot,2024-04-08,01:45:53,WashingtonDC4D,38.943,-77.028,True
7D53-753008,Single Gunshot,2024-04-08,02:58:55,WashingtonDC7D,38.855,-76.973,True
7D53-753011,Single Gunshot,2024-04-08,04:42:03,WashingtonDC7D,38.833,-77.003,True
3D48-213316,Multiple Gunshots,2024-04-08,15:27:09,WashingtonDC3D,38.909,-77.009,True
5D51-325260,Multiple Gunshots,2024-04-08,15:27:12,WashingtonDC5D,38.91,-77.009,True
7D53-753074,Multiple Gunshots,2024-04-08,18:22:30,WashingtonDC7D,38.856,-76.99,True
7D53-753075,Multiple Gunshots,2024-04-08,18:22:36,WashingtonDC7D,38.856,-76.991,True
7D53-753076,Multiple Gunshots,2024-04-08,18:22:43,WashingtonDC7D,38.856,-76.991,True
7D53-753077,Multiple Gunshots,2024-04-08,18:22:52,WashingtonDC7D,38.856,-76.991,True
7D53-753086,Multiple Gunshots,2024-04-08,20:30:14,WashingtonDC7D,38.854,-76.986,True
6D52-655148,Multiple Gunshots,2024-04-08,21:10:53,WashingtonDC6D,38.893,-76.95,True
6D52-655152,Single Gunshot,2024-04-08,21:21:57,WashingtonDC6D,38.897,-76.948,True
6D52-655155,Single Gunshot,2024-04-08,21:22:37,WashingtonDC6D,38.901,-76.944,True
6D52-655157,Multiple Gunshots,2024-04-08,21:33:51,WashingtonDC6D,38.882,-76.926,True
6D52-655186,Multiple Gunshots,2024-04-08,22:26:56,WashingtonDC6D,38.873,-76.966,True
6D52-655203,Multiple Gunshots,2024-04-08,23:03:11,WashingtonDC6D,38.867,-76.945,True
6D52-655214,Multiple Gunshots,2024-04-08,23:10:58,WashingtonDC6D,38.89,-76.931,True
6D52-655233,Probable Gunfire,2024-04-08,23:16:59,WashingtonDC6D,38.864,-76.948,True
6D52-655239,Probable Gunfire,2024-04-08,23:21:50,WashingtonDC6D,38.875,-76.954,True
6D52-655241,Multiple Gunshots,2024-04-08,23:21:56,WashingtonDC6D,38.886,-76.934,True
7D53-753122,Single Gunshot,2024-04-08,23:31:15,WashingtonDC7D,38.865,-76.982,True
4D50-227793,Multiple Gunshots,2024-04-08,23:43:17,WashingtonDC4D,38.939,-77.025,True
4D50-227794,Probable Gunfire,2024-04-08,23:43:31,WashingtonDC4D,38.939,-77.025,True
4D50-227796,Multiple Gunshots,2024-04-09,01:10:24,WashingtonDC4D,38.937,-77.025,True
7D53-753138,Multiple Gunshots,2024-04-09,01:11:27,WashingtonDC7D,38.832,-76.988,True
7D53-753142,Single Gunshot,2024-04-09,02:17:58,WashingtonDC7D,38.828,-77.0,True
4D50-227801,Single Gunshot,2024-04-09,02:31:32,WashingtonDC4D,38.944,-77.024,True
6D52-655275,Multiple Gunshots,2024-04-09,03:14:44,WashingtonDC6D,38.89,-76.961,True
7D53-753151,Single Gunshot,2024-04-09,04:25:34,WashingtonDC7D,38.862,-76.982,True
